(deux jeux en attente),,
(pas de jeu propre),,
(sans jeu propre),,
(un jeu en attente),,
"1a""re trompette",8,
1e trompette,8,
"2a""me trompette",8,
2e trompette,8,
basse,16,
basse,8,
basson,8,
basson,16,
basson acoustique,16,
basson hautbois,8,
basson-hautbois,8,
basson-hautbois,,
bomarde,16,
bombarde,16,
bombarde,32,
bombarde acoust.,16,
bombarde acoust.,32,
bombarde acoustique,32,
bombarde acoustique,16,
boudon a  chemina(c)e,8,
bourdon,16,
bourdon,8,
bourdon,,
bourdon a  chemina(c)e,8,
bourdon conique,8,
bourdon-fla>>te,8,
carillon,II-IV,
carillon,I-III,
chalumeau,4,
chamade,8,
chamade,4 -8,
choralbasse,4,
chromhorne,8,
cimbale,III,
cimbel,III,
claion,4,
clairon,4,
clairon 4',,
clairon chamade,4,
clairon-hautbois,4 -8,
clarinette,8,
clariton,,
contre-basse,16,
contrebasse,16,
cor de chamois,8,
cor de nuit,8,
cornet,II-III,
cornet,I-III,
cornet,,
cornet,IV,
cornet,II-V,
cornet,III-V,
cornet,III,
cornet,II ,
cornet,II,
cornet,V,
cornettino,III,
corno inglese,16,
cromorne,8,
cromorne,4,
cymbale,,
cymbale,IV,
cymbale,III,
cymbale,V-VI,
cymbale,II,
dessus de cornet,V,
dessus de fla>>te,8,
diapason,8,
dolce,8,
douaSSaine,16,
doublete,2,
doublette,2,
dulcian,8,
dulciana,8,
dulciana,4,
dulciane,4,
dulciane,8,
dulzian,8,
fagott,16,
feldtrompete,4,
fla 1/4 te,4,
fla 1/4 te octaviante,4,
fla>>te,32,
fla>>te,2,
fla>>te,8,
fla>>te,4,
fla>>te,16,
fla>>te a  biberon,4,
fla>>te a  chemina(c)e,8,
fla>>te a  chemina(c)e,4,
fla>>te a  chemina(c)es,4,
fla>>te a  chemina(c)es,2,
fla>>te a  fuseau,4,
fla>>te a  fuseau,8,
fla>>te a(c)cho,4,
fla>>te allemande,8,
fla>>te boucha(c)e,4,
fla>>te conique,8,
fla>>te conique,4,
fla>>te conique,2,
fla>>te creuse,8,
fla>>te d'allemand,4,
fla>>te de bonn,8,
fla>>te douce,4,
fla>>te douce,8,
fla>>te harmonique,8,
fla>>te large,4,
fla>>te octaviante,4,
fla>>te ouverte,8,
fla>>te ouverte,4,
fla>>te solo,8,
"fla>>te traversia""re",8,
flageolet,1,
flageolet,2,
flageolet,8,
flagolet,2,
fluit,4,
fluste,8,
fluste a  neuf trous,2,
fluste bouchez,8,
fluste d'allemand,4,
flute,8,
flute ouvert,8,
flutebasse,8,
fourniture,IV,
fourniture,VII,
fourniture,,
fourniture,III-V,
fourniture,III,
fourniture,IV-V,
fourniture,II,
fourniture,V,
fournitures,III,
fugara,8,
fugara,4,
gamba,8,
gambe,8,
gedackt,8,
gedekt,8,
gemshorm,4,
gemshorn,4,
grand cornet,V,
grande fourniture,II-IV,
grande tierce,3 1/5,
grande tierce,1 3/5,
gros nasard,5 1/3,
grosse fla>>te boucha(c)e,16,
grosse flute,8,
grosse fourniture,II-IV,
grosse fourniture,III,
grosse fourniture,II,
grosse quinte,5 1/3,
grosse quinte,10 2/3,
grosse tierce,3 1/5,
haut-bois,8,
hautbois,8,
hautbois,4,
hautbois et basson,8,
hintersatz,IV,
holzdulzian,16,
ka(c)raulophone,8,
keraulophone,8,
koraal-bas,4,
larigot,1 1 /3,
larigot,1 1/3,
lieblich gedacht,8,
ma(c)lophone,8,
mixtur,IV,
mixtur,VI,
mixtur,V,
mixture,,
mixture,IV-V,
mixture,II-III,
mixture,IV,
montre,,
montre,16,
montre,8,
montre,4,
musette,8,
nachthorn,2,
nasard,2 2/3,
nasart,2 2/3,
nasat,2 2/3,
nazard,2 2/3,
nazat,2 2/3,
octaaf,4,
octava,4,
octava,2,
octavbass,8,
octavbasse,8,
octave,2,
octave,4,
octave,8,
octave-quinte,,
octavebasse,8,
octavin,2,
octavin harmonique,2,
offenbaaza2,8,
oktave,4,
oktave,2,
open diapason,8,
petit cornet,IV,
petit nazard,1 1/3,
petite chalemie,4,
petite fla>>te,4,
piccolo,1,
plain jeu,IV,
plain-jeu,V,
plein jeu,IV,
plein jeu,II/V ,
plein jeu,II-V,
plein jeu,III,
plein-jeu,II-IV,
plein-jeu,III-V,
plein-jeu,III,
plein-jeu,V-VI,
plein-jeu,V-VII,
plein-jeu,II-V,
plein-jeu,V,
plein-jeu,III-VI,
plein-jeu,III-IV,
plein-jeu,,
plein-jeu,I-IV,
plein-jeu,IV,
plein-jeu 16',I,
plein-jeu 8',IV,
plein-jeu iv,IV,
posaune,16,
posaunenbass,16,
prestant,,
prestant,8,
prestant,4,
principal,2,
principal,16,
principal,1,
principal,4,
principal,8,
principal italien,4,
principalbasse,16,
prinicpal,8,
prinzipal,8,
prinzipal,4,
quarte,2,
quarte de nasard,2,
quinta,1 1/3,
quinta,2 2/3,
"quintada""ne",8,
quintade,16,
quintaden,16,
quintaden,8,
quintaton,16,
quintaton,8,
quintaton,4,
quinte,,
quinte,2 2/3,
quinte,10 2/3,
quinte,3,
quinte,5 1/3,
quinte,1 1/3,
quinte fla>>te,2 2/3,
quintelette,1 1/3,
quintflaPte,1 1/3,
ra(c)gale,8,
rankett,16,
ranquette,16,
